"ninecode" "natalyr" "sex.use" "nestrec" "surv.ind.to.ad" "brood.date" "sex.use.x1" "f.coef" "foc0" "g1" "natalyr.no"
145162457 1997 1 2305 0 116 1 0.0186843872070312 0.31494140625 0.68505859375 23
145162458 1997 1 2310 0 115 1 0.0735483169555664 0.5404052734375 0.4595947265625 23
145162459 1997 1 2310 0 115 1 0.0735483169555664 0.5404052734375 0.4595947265625 23
145162462 1997 2 2250 0 116 2 0.0915908813476562 0.62353515625 0.37646484375 23
145162463 1997 2 2220 0 113 2 0.100512504577637 0.696044921875 0.303955078125 23
145162464 1997 2 2289 0 113 2 0.107818603515625 0.65771484375 0.34228515625 23
145162465 1997 2 2289 0 113 2 0.0640792846679688 0.58056640625 0.41943359375 23
145162466 1997 1 2289 0 113 1 0.0640792846679688 0.58056640625 0.41943359375 23
145162468 1997 2 2285 0 114 2 0.0936036109924316 0.5498046875 0.4501953125 23
145162469 1997 2 2285 0 114 2 0.0936036109924316 0.5498046875 0.4501953125 23
145162470 1997 1 2285 1 114 1 0.0936036109924316 0.5498046875 0.4501953125 23
145162471 1997 2 2234 0 119 2 0.0485014915466309 0.63330078125 0.36669921875 23
145162472 1997 2 2234 1 119 2 0.0485014915466309 0.63330078125 0.36669921875 23
145162473 1997 2 2234 1 119 2 0.0485014915466309 0.63330078125 0.36669921875 23
145162474 1997 1 2279 0 119 1 0.101779937744141 0.577880859375 0.422119140625 23
145162475 1997 2 2279 0 119 2 0.101779937744141 0.577880859375 0.422119140625 23
145162476 1997 1 2279 0 119 1 0.101779937744141 0.577880859375 0.422119140625 23
145162478 1997 2 2308 1 120 2 0.0768671035766602 0.682861328125 0.317138671875 23
145162479 1997 1 2277 1 121 1 0.0459671020507812 0.48388671875 0.51611328125 23
145162480 1997 1 2291 1 124 1 0.103662490844727 0.6884765625 0.3115234375 23
145162482 1997 1 2291 0 124 1 0.103662490844727 0.6884765625 0.3115234375 23
145162483 1997 2 2291 0 124 2 0.103662490844727 0.6884765625 0.3115234375 23
145162487 1997 2 2293 0 126 2 0.124473571777344 0.500732421875 0.499267578125 23
145162488 1997 2 2293 0 126 2 0.0757770538330078 0.577880859375 0.422119140625 23
145162489 1997 2 2240 0 132 2 0.0204010009765625 0.4169921875 0.5830078125 23
145162490 1997 1 2240 0 132 1 0.0204010009765625 0.4169921875 0.5830078125 23
145162491 1997 2 2240 0 132 2 0.0204010009765625 0.4169921875 0.5830078125 23
145162492 1997 2 2247 0 134 2 0.0315704345703125 0.53466796875 0.46533203125 23
145162493 1997 2 2247 0 134 2 0.0315704345703125 0.53466796875 0.46533203125 23
145162494 1997 2 2247 1 134 2 0.0690555572509766 0.6478271484375 0.3521728515625 23
145162495 1997 2 2301 0 138 2 0.158744812011719 0.5302734375 0.4697265625 23
145162496 1997 1 2301 0 138 1 0.0446243286132812 0.45654296875 0.54345703125 23
145162498 1997 1 2301 0 138 1 0.158744812011719 0.5302734375 0.4697265625 23
145162499 1997 1 2272 0 140 1 0.0744571685791016 0.555419921875 0.444580078125 23
145162500 1997 1 2272 0 140 1 0.130073547363281 0.5380859375 0.4619140625 23
146130301 1997 1 2272 1 140 1 0.0744571685791016 0.555419921875 0.444580078125 23
146130302 1997 1 2262 0 141 1 0 0.2412109375 0.7587890625 23
146130303 1997 2 2249 1 141 2 0.0476245880126953 0.52197265625 0.47802734375 23
146130304 1997 2 2249 1 141 2 0.0476245880126953 0.52197265625 0.47802734375 23
146130306 1997 2 2249 0 141 2 0.0476245880126953 0.52197265625 0.47802734375 23
